,model,accuracy,precision,recall,f1_score,auroc
0,chemprop,0.8903122497998399,0.6867625176623455,0.5230298904973354,0.5332429884413334,0.9579893445056891
1,chemprop,0.8914697637164598,0.9014749828942682,0.5759213517643722,0.6398160369174253,0.9745283395828407
2,chemprop,0.8982779335202242,0.8667283169313545,0.6226064740981936,0.6648363106370729,0.9616727368343592
3,chemprop,0.8982779335202242,0.8486245849453331,0.607821648587711,0.6637964015801828,0.9792835082685125
4,chemprop,0.8934721665999199,0.5955661453923369,0.5544033842356432,0.5709944606121014,0.9773292755782883
5,chemprop,0.8979183346677342,0.5928234455329643,0.6921166623038281,0.6256463402838232,0.978407772873472
6,chemprop,0.8970764917901481,0.7032653586642368,0.5915383701697083,0.6298077042942841,0.9660273651885083
7,chemprop,0.8962755306367641,0.6963884430466102,0.5487575544334293,0.5720886539767644,0.9510832869249117
8,chemprop,0.8910692831397677,0.8979890948745911,0.5931380960237584,0.6554370031835595,0.9727589199353023
9,chemprop,0.8974769723668402,0.899247615852782,0.6128685552275577,0.6680427034091881,0.9635942538627151
10,chemprop,0.8927141713370697,0.6505422478196159,0.5932417698732758,0.6146709277761253,0.9769315117698483
11,chemprop,0.9058870644773729,0.5084390583613377,0.4966659052426392,0.5020569596513058,0.9785902105142043
12,chemprop,0.8934721665999199,0.7320245295014731,0.6099453945575876,0.6439093073043973,0.9513034896892668
13,chemprop,0.8990788946736084,0.8967663485194279,0.6576427773205735,0.7007277640868127,0.9659280235158884
14,chemprop,0.8866639967961554,0.7956136537890194,0.6272145298881028,0.6655518453341239,0.9695014048498898
15,chemprop,0.8863090472377902,0.688973113922866,0.5424017129566342,0.573088379874525,0.9716229462564512
16,chemprop,0.9006808169803765,0.6242222715818591,0.5522454330902795,0.5779921819474059,0.9528780172336766
17,chemprop,0.9014817781337605,0.7255929026788146,0.5964608924822442,0.6326627703295733,0.9790555632945542
18,chemprop,0.8930716860232278,0.7923963579910922,0.6220545360486851,0.6655553682979127,0.9704456487644677
19,chemprop,0.8934721665999199,0.5855828960731212,0.5287889371746453,0.533637630817205,0.9713286316064295
20,chemprop,0.8987189751801441,0.7018343722912996,0.5757819315858692,0.609122418140727,0.9730912318263186
21,chemprop,0.8894673608329996,0.7641525901941458,0.6037439391580375,0.6469612994197644,0.9523193754827692
22,chemprop,0.8930716860232278,0.6555802614683721,0.6281534816544185,0.6401065754326278,0.9739451567893115
23,chemprop,0.8886663996796156,0.81007367623709,0.6208212641530098,0.6674084668847321,0.9627861633490857
24,chemprop,0.8966760112134562,0.5033384135774829,0.48202160229442487,0.49178860097256116,0.9646871897423672
