,model,accuracy,precision,recall,f1_score,auroc
0,chemprop,0.8692179700499169,0.7753793924240242,0.7305151438743172,0.7506639772397141,0.9646226955291498
1,chemprop,0.8532445923460898,0.6878312809562809,0.6570186919574524,0.6626204779848013,0.9527564939327562
2,chemprop,0.853910149750416,0.7410444763377118,0.6763295175299728,0.6883998224637542,0.955321002109881
3,chemprop,0.870216306156406,0.8496670373501821,0.7340092260539779,0.7665578313727819,0.9642616164945848
4,chemprop,0.8708818635607322,0.86662142316609,0.672413583156625,0.7105359072617251,0.9561904569918628
5,chemprop,0.8675540765391015,0.7818795252496683,0.6929553807628365,0.7149544909782675,0.9624547900553146
6,chemprop,0.8632279534109817,0.8419112388115801,0.7271063775198426,0.7611648718149076,0.9681576459583854
7,chemprop,0.8675540765391015,0.7657433262907807,0.7089080098348063,0.731912626093086,0.9565567892081802
8,chemprop,0.8599001663893511,0.7089879310986916,0.6613314242473403,0.672569278853113,0.956124204168178
9,chemprop,0.8685524126455907,0.8219007115233927,0.7280437624138723,0.7562268481744152,0.9690127064557345
10,chemprop,0.8599001663893511,0.7775224369889382,0.6868589635634712,0.7196255298957955,0.969088776250748
11,chemprop,0.8695507487520798,0.8425043360628157,0.7117527251912334,0.7381324758386227,0.9580820823957927
12,chemprop,0.8658901830282862,0.7059334842181829,0.658827721992645,0.6754197923578621,0.9389835188618376
13,chemprop,0.8668885191347754,0.7929877656451054,0.7593071584721114,0.7750102847762719,0.9691366303410133
14,chemprop,0.853910149750416,0.7844665293673702,0.6979361125948763,0.7186297833415406,0.9473816379654212
15,chemprop,0.8712146422628951,0.778881507953579,0.696593536169242,0.7222468535026451,0.9711493370966304
16,chemprop,0.8569051580698835,0.7865049040913201,0.7318634412257179,0.7553494951991861,0.952956554195208
17,chemprop,0.8585690515806988,0.8027200046526028,0.6915926043274844,0.7232926430773807,0.9552663839441419
18,chemprop,0.8562396006655574,0.7255632483318355,0.6805030701540246,0.6944946837161867,0.9505500065211866
19,chemprop,0.8758735440931781,0.7626777050319837,0.6891477070908201,0.7137896672663171,0.9521718832401467
20,chemprop,0.864891846921797,0.7637209035944841,0.6888801156987092,0.7097174667970284,0.9420620608926449
21,chemprop,0.8565723793677205,0.8455337043737263,0.6496679194982914,0.6795459509637981,0.9572105545702057
22,chemprop,0.8672212978369385,0.7243897367598674,0.6846898821160174,0.6958665038778126,0.9457281367148471
23,chemprop,0.8678868552412645,0.8409041531357462,0.7055637867170346,0.7332614406420347,0.9585600744988033
24,chemprop,0.8698835274542429,0.8324229836961307,0.7275097603225855,0.7625724155546671,0.9625532672775986
