,model,accuracy,precision,recall,f1_score,auroc
0,balancedforest,0.7627287853577371,0.5661018988604364,0.7112703655354972,0.5773779179410654,0.926008792480862
1,balancedforest,0.7497504159733777,0.5542141565705573,0.6596849137684597,0.556415753685678,0.8997640017815061
2,balancedforest,0.7394342762063228,0.535422041522771,0.680547404638294,0.5510128749105017,0.9086529067960901
3,balancedforest,0.756738768718802,0.563438837189566,0.7565745771582426,0.5839901164655047,0.9311494449519587
4,balancedforest,0.7663893510815308,0.5729934650133076,0.7444532227962398,0.5881620083913153,0.9362669142177771
5,balancedforest,0.7657237936772047,0.5704481550486908,0.7367800697735284,0.5787222613004188,0.9278732034501468
6,balancedforest,0.7637271214642263,0.5586674104086413,0.7282924048292191,0.5707501236408861,0.9150417299970055
7,balancedforest,0.756738768718802,0.557566568184631,0.70450639848005,0.5713073931896046,0.9256909369625411
8,balancedforest,0.7647254575707155,0.5684946462492121,0.6631442655204611,0.5846120888552868,0.9135957511304766
9,balancedforest,0.7534109816971714,0.5615673100032732,0.7393855321526861,0.5835460933643944,0.9228406449204449
10,balancedforest,0.7630615640599002,0.5463571312658413,0.73789426581566,0.5577478744436729,0.907635518380968
11,balancedforest,0.7713810316139768,0.5774031931825376,0.7074860923219485,0.5989866541021621,0.9227415352191339
12,balancedforest,0.76738768718802,0.5605719867476795,0.645763019545088,0.5681259778136756,0.9193658432714795
13,balancedforest,0.7700499168053244,0.5819981026648181,0.7610138983051097,0.5994937265880712,0.9300319031368035
14,balancedforest,0.7554076539101497,0.5618522434094203,0.6691789032553034,0.5707277740876076,0.9119120269141707
15,balancedforest,0.7687188019966722,0.5736988450691979,0.7310815689962273,0.586865312525214,0.9288935761584544
16,balancedforest,0.7574043261231281,0.5560300415946751,0.7361899024481484,0.580066265786024,0.9311366148265592
17,balancedforest,0.7603993344425957,0.5607113326621861,0.690270649487578,0.5778474298305485,0.9207830537936029
18,balancedforest,0.75108153078203,0.5657846158920784,0.7036853031578497,0.5724266542532758,0.9138637283661561
19,balancedforest,0.7564059900166389,0.5510906319966663,0.6977367070455254,0.5665014195536945,0.9211997723102598
20,balancedforest,0.7707154742096506,0.5795924132214215,0.7388346480188543,0.5964313591187049,0.9196899208190231
21,balancedforest,0.7500831946755407,0.5516042391662936,0.6879171632651663,0.5702567869084727,0.9098918126238793
22,balancedforest,0.7584026622296173,0.5526410540364028,0.6849507968563009,0.5624468535119175,0.9265044975371227
23,balancedforest,0.7723793677204659,0.5625878397541039,0.7304167660372667,0.5757647463872091,0.9277154373789456
24,balancedforest,0.7683860232945091,0.5760755308378184,0.73359272289559,0.5976272137800305,0.9219604860352011
